JSESSIONID,"_cd","_indextime","_kv","_raw","_serial","_si","_sourcetype","_time",action,bytes,"category_id",clientip,cookie,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",eventtype,file,host,ident,index,itemId,"itemQuantity_EST_18","itemQuantity_EST_19","item_id",linecount,method,other,"product_id",punct,referer,"referer_domain","req_time",root,source,sourcetype,"splunk_server",status,timeendpos,timestartpos,uri,"uri_domain","uri_path","uri_query",user,useragent,version,"itemQuantity_EST_26","itemQuantity_EST_27","itemQuantity_EST_6","itemQuantity_EST_7","_subsecond"
SD9SL2FF9ADFF1,"13:390783",1347372404,1,"192.0.1.32 - - [09/Sep/2012:14:50:52] ""GET /flower_store/enter_order_information.screen HTTP/1.1"" 200 12919 ""http://mystore.com/flower_store/cart.do?action=update&itemQuantity_EST-19=4&itemQuantity_EST-18=4&JSESSIONID=SD9SL2FF9ADFF1"" ""Mozilla/5.0 (X11; U; Linux; en-US; rv:1.8.0.10) Gecko/20070223 CentOS/1.5.0.10-0.1.el4.centos Firefox/1.5.0.10"" 1800 1748",13227,"ahost
main","access_combined",1347198670,,10893,FLOWERS,"10.192.1.51",,14,9,51,september,10,sunday,2012,local,,"product.screen","ahost","-",main,,,,,1,GET,"620 3294","FI-FW-02","..._-_-_[//:::]_""_//.?=--_/.""___""://..//.?=&=""_""/.","http://mystore.com/flower_store/category.screen?category_id=FLOWERS&JSESSIONID=SD9SL2FF9ADFF1","http://mystore.com","09/Sep/2012:14:51:10","flower_store","log/apache1/access_combined.log","access_combined","ahost",200,37,17,"/flower_store/product.screen?product_id=FI-FW-02",,"/flower_store/product.screen","product_id=FI-FW-02","-","Mozilla/5.0 (X11; U; Linux; en-US; rv:1.8.0.10) Gecko/20070223 CentOS/1.5.0.10-0.1.el4.centos Firefox/1.5.0.10","HTTP/1.1",,,,,
SD9SL2FF9ADFF1,"13:89533",1347372345,1,"10.192.1.51 - - [09/Sep/2012:14:51:10] ""GET /flower_store/product.screen?product_id=FI-FW-02 HTTP/1.1"" 200 10893 ""http://mystore.com/flower_store/category.screen?category_id=FLOWERS&JSESSIONID=SD9SL2FF9ADFF1"" ""Mozilla/5.0 (X11; U; Linux; en-US; rv:1.8.0.10) Gecko/20070223 CentOS/1.5.0.10-0.1.el4.centos Firefox/1.5.0.10"" 620 3294",13223,"ahost
main","access_combined",1347198890,,9662,,"192.1.2.35",,14,9,54,september,50,sunday,2012,local,,"signoff.do","ahost","-",main,,,,,1,GET,"4739 212",,"..._-_-_[//:::]_""_//._/.""___""://..//.&=""_""/._(;_;_","http://mystore.com/flower_store/order.do&JSESSIONID=SD9SL2FF9ADFF1","http://mystore.com","09/Sep/2012:14:54:50","flower_store","log/apache1/access_combined.log","access_combined","ahost",200,36,16,"/flower_store/signoff.do",,"/flower_store/signoff.do",,"-","Mozilla/5.0 (X11; U; Linux; en-US; rv:1.8.0.10) Gecko/20070223 CentOS/1.5.0.10-0.1.el4.centos Firefox/1.5.0.10","HTTP/1.1",,,,,
SD9SL2FF9ADFF1,"13:89593",1347372345,1,"192.1.2.35 - - [09/Sep/2012:14:54:50] ""GET /flower_store/signoff.do HTTP/1.1"" 200 9662 ""http://mystore.com/flower_store/order.do&JSESSIONID=SD9SL2FF9ADFF1"" ""Mozilla/5.0 (X11; U; Linux; en-US; rv:1.8.0.10) Gecko/20070223 CentOS/1.5.0.10-0.1.el4.centos Firefox/1.5.0.10"" 4739 212",13206,"ahost
main","access_combined",1347199175,purchase,10567,FLOWERS,"192.168.11.34",,14,9,59,september,35,sunday,2012,local,,"category.screen","ahost","-",main,"EST-26",,,,1,GET,"2141 848",,"..._-_-_[//:::]_""_//.?=_/.""___""://..//.?=&=-&=""_""/","http://mystore.com/flower_store/cart.do?action=purchase&itemId=EST-26&JSESSIONID=SD9SL2FF9ADFF1","http://mystore.com","09/Sep/2012:14:59:35","flower_store","log/apache3/access_combined.log","access_combined","ahost",200,39,19,"/flower_store/category.screen?category_id=FLOWERS",,"/flower_store/category.screen","category_id=FLOWERS","-","Mozilla/5.0 (X11; U; Linux; en-US; rv:1.8.0.10) Gecko/20070223 CentOS/1.5.0.10-0.1.el4.centos Firefox/1.5.0.10","HTTP/1.1",,,,,
SD9SL2FF9ADFF1,"13:740063",1347372455,1,"192.168.11.34 - - [09/Sep/2012:14:59:35] ""GET /flower_store/category.screen?category_id=FLOWERS HTTP/1.1"" 200 10567 ""http://mystore.com/flower_store/cart.do?action=purchase&itemId=EST-26&JSESSIONID=SD9SL2FF9ADFF1"" ""Mozilla/5.0 (X11; U; Linux; en-US; rv:1.8.0.10) Gecko/20070223 CentOS/1.5.0.10-0.1.el4.centos Firefox/1.5.0.10"" 2141 848",13179,"ahost
main","access_combined",1347199230,,10591,FLOWERS,"187.231.45.40",,15,9,0,september,30,sunday,2012,local,,"category.screen","ahost","-",main,,,,,1,GET,"862 3534",,"..._-_-_[//:::]_""_//.?=_/.""___""://..//\\.&=""_""/._(","http://mystore.com/flower_store/main\\.screen&JSESSIONID=SD9SL2FF9ADFF1","http://mystore.com","09/Sep/2012:15:00:30","flower_store","log/apache1/access_combined.log","access_combined","ahost",200,39,19,"/flower_store/category.screen?category_id=FLOWERS",,"/flower_store/category.screen","category_id=FLOWERS","-","Mozilla/5.0 (X11; U; Linux; en-US; rv:1.8.0.10) Gecko/20070223 CentOS/1.5.0.10-0.1.el4.centos Firefox/1.5.0.10","HTTP/1.1",,,,,
SD9SL2FF9ADFF1,"13:89663",1347372345,1,"187.231.45.40 - - [09/Sep/2012:15:00:30] ""GET /flower_store/category.screen?category_id=FLOWERS HTTP/1.1"" 200 10591 ""http://mystore.com/flower_store/main\\.screen&JSESSIONID=SD9SL2FF9ADFF1"" ""Mozilla/5.0 (X11; U; Linux; en-US; rv:1.8.0.10) Gecko/20070223 CentOS/1.5.0.10-0.1.el4.centos Firefox/1.5.0.10"" 862 3534",13176,"ahost
main","access_combined",1347199257,purchase,10567,FLOWERS,"10.192.1.42",,15,9,0,september,57,sunday,2012,local,,"category.screen","ahost","-",main,"EST-13",,,,1,GET,"1220 4611",,"..._-_-_[//:::]_""_//.?=_/.""___""://..//.?=&=-&=""_""/","http://mystore.com/flower_store/cart.do?action=purchase&itemId=EST-13&JSESSIONID=SD9SL2FF9ADFF1","http://mystore.com","09/Sep/2012:15:00:57","flower_store","log/apache2/access_combined.log","access_combined","ahost",200,37,17,"/flower_store/category.screen?category_id=FLOWERS",,"/flower_store/category.screen","category_id=FLOWERS","-","Mozilla/5.0 (X11; U; Linux; en-US; rv:1.8.0.10) Gecko/20070223 CentOS/1.5.0.10-0.1.el4.centos Firefox/1.5.0.10","HTTP/1.1",,,,,
SD9SL2FF9ADFF1,"13:391123",1347372404,1,"10.192.1.42 - - [09/Sep/2012:15:00:57] ""GET /flower_store/category.screen?category_id=FLOWERS HTTP/1.1"" 200 10567 ""http://mystore.com/flower_store/cart.do?action=purchase&itemId=EST-13&JSESSIONID=SD9SL2FF9ADFF1"" ""Mozilla/5.0 (X11; U; Linux; en-US; rv:1.8.0.10) Gecko/20070223 CentOS/1.5.0.10-0.1.el4.centos Firefox/1.5.0.10"" 1220 4611",13173,"ahost
main","access_combined",1347199276,,16702,,"10.192.1.47",,15,9,1,september,16,sunday,2012,local,,"enter_order_information.screen","ahost","-",main,,,,,1,GET,"2437 1537",,"..._-_-_[//:::]_""_//._/.""___""://..//.&=""_""/._(;_;_","http://mystore.com/flower_store/enter_order_information.screen&JSESSIONID=SD9SL2FF9ADFF1","http://mystore.com","09/Sep/2012:15:01:16","flower_store","log/apache3/access_combined.log","access_combined","ahost",200,37,17,"/flower_store/enter_order_information.screen",,"/flower_store/enter_order_information.screen",,"-","Mozilla/5.0 (X11; U; Linux; en-US; rv:1.8.0.10) Gecko/20070223 CentOS/1.5.0.10-0.1.el4.centos Firefox/1.5.0.10","HTTP/1.1",,,,,
SD9SL2FF9ADFF1,"13:740113",1347372455,1,"10.192.1.47 - - [09/Sep/2012:15:01:16] ""GET /flower_store/enter_order_information.screen HTTP/1.1"" 200 16702 ""http://mystore.com/flower_store/enter_order_information.screen&JSESSIONID=SD9SL2FF9ADFF1"" ""Mozilla/5.0 (X11; U; Linux; en-US; rv:1.8.0.10) Gecko/20070223 CentOS/1.5.0.10-0.1.el4.centos Firefox/1.5.0.10"" 2437 1537",13170,"ahost
main","access_combined",1347199500,purchase,10567,CANDY,"10.2.91.44",,15,9,5,september,0,sunday,2012,local,,"category.screen","ahost","-",main,"EST-20",,,,1,GET,"3618 178",,"..._-_-_[//:::]_""_//.?=_/.""___""://..//.?=&=-&=""_""/","http://mystore.com/flower_store/cart.do?action=purchase&itemId=EST-20&JSESSIONID=SD9SL2FF9ADFF1","http://mystore.com","09/Sep/2012:15:05:00","flower_store","log/apache2/access_combined.log","access_combined","ahost",200,36,16,"/flower_store/category.screen?category_id=CANDY",,"/flower_store/category.screen","category_id=CANDY","-","Mozilla/5.0 (X11; U; Linux; en-US; rv:1.8.0.10) Gecko/20070223 CentOS/1.5.0.10-0.1.el4.centos Firefox/1.5.0.10","HTTP/1.1",,,,,
SD9SL2FF9ADFF1,"13:391273",1347372404,1,"10.2.91.44 - - [09/Sep/2012:15:05:00] ""GET /flower_store/category.screen?category_id=CANDY HTTP/1.1"" 200 10567 ""http://mystore.com/flower_store/cart.do?action=purchase&itemId=EST-20&JSESSIONID=SD9SL2FF9ADFF1"" ""Mozilla/5.0 (X11; U; Linux; en-US; rv:1.8.0.10) Gecko/20070223 CentOS/1.5.0.10-0.1.el4.centos Firefox/1.5.0.10"" 3618 178",13149,"ahost
main","access_combined",1347199680,,10582,FLOWERS,"233.77.49.48",,15,9,8,september,0,sunday,2012,local,,"product.screen","ahost","-",main,,,,,1,GET,"618 158","FI-SW-01","..._-_-_[//:::]_""_//.?=--_/.""___""://..//.?=&=""_""/.","http://mystore.com/flower_store/category.screen?category_id=FLOWERS&JSESSIONID=SD9SL2FF9ADFF1","http://mystore.com","09/Sep/2012:15:08:00","flower_store","log/apache2/access_combined.log","access_combined","ahost",200,38,18,"/flower_store/product.screen?product_id=FI-SW-01",,"/flower_store/product.screen","product_id=FI-SW-01","-","Mozilla/5.0 (X11; U; Linux; en-US; rv:1.8.0.10) Gecko/20070223 CentOS/1.5.0.10-0.1.el4.centos Firefox/1.5.0.10","HTTP/1.1",,,,,
SD9SL2FF9ADFF1,"13:391363",1347372404,1,"233.77.49.48 - - [09/Sep/2012:15:08:00] ""GET /flower_store/product.screen?product_id=FI-SW-01 HTTP/1.1"" 200 10582 ""http://mystore.com/flower_store/category.screen?category_id=FLOWERS&JSESSIONID=SD9SL2FF9ADFF1"" ""Mozilla/5.0 (X11; U; Linux; en-US; rv:1.8.0.10) Gecko/20070223 CentOS/1.5.0.10-0.1.el4.centos Firefox/1.5.0.10"" 618 158",13130,"ahost
main","access_combined",1347199734,,10903,GIFTS,"187.231.45.29",,15,9,8,september,54,sunday,2012,local,,"product.screen","ahost","-",main,,,,,1,GET,"4338 772","K9-BD-01","..._-_-_[//:::]_""_//.?=--_/.""___""://..//.?=&=""_""/.","http://mystore.com/flower_store/category.screen?category_id=GIFTS&JSESSIONID=SD9SL2FF9ADFF1","http://mystore.com","09/Sep/2012:15:08:54","flower_store","log/apache1/access_combined.log","access_combined","ahost",200,39,19,"/flower_store/product.screen?product_id=K9-BD-01",,"/flower_store/product.screen","product_id=K9-BD-01","-","Mozilla/5.0 (X11; U; Linux; en-US; rv:1.8.0.10) Gecko/20070223 CentOS/1.5.0.10-0.1.el4.centos Firefox/1.5.0.10","HTTP/1.1",,,,,
SD9SL2FF9ADFF1,"13:89793",1347372345,1,"187.231.45.29 - - [09/Sep/2012:15:08:54] ""GET /flower_store/product.screen?product_id=K9-BD-01 HTTP/1.1"" 200 10903 ""http://mystore.com/flower_store/category.screen?category_id=GIFTS&JSESSIONID=SD9SL2FF9ADFF1"" ""Mozilla/5.0 (X11; U; Linux; en-US; rv:1.8.0.10) Gecko/20070223 CentOS/1.5.0.10-0.1.el4.centos Firefox/1.5.0.10"" 4338 772",13126,"ahost
main","access_combined",1347199740,purchase,10567,FLOWERS,"189.222.1.29",,15,9,9,september,0,sunday,2012,local,,"category.screen","ahost","-",main,"EST-21",,,,1,GET,"2593 509",,"..._-_-_[//:::]_""_//.?=_/.""___""://..//.?=&=-&=""_""/","http://mystore.com/flower_store/cart.do?action=purchase&itemId=EST-21&JSESSIONID=SD9SL2FF9ADFF1","http://mystore.com","09/Sep/2012:15:09:00","flower_store","log/apache2/access_combined.log","access_combined","ahost",200,38,18,"/flower_store/category.screen?category_id=FLOWERS",,"/flower_store/category.screen","category_id=FLOWERS","-","Mozilla/5.0 (X11; U; Linux; en-US; rv:1.8.0.10) Gecko/20070223 CentOS/1.5.0.10-0.1.el4.centos Firefox/1.5.0.10","HTTP/1.1",,,,,
