source,host,sourcetype,eventtype,punct,process,"src_ip",action,"_raw","_time"
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 16:59:53 45.0.12.112 named[30382]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1210021193
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 16:59:18 45.0.12.112 named[30382]: client 62.0.94.176#2104: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1210021158
"tcp:514","45.30.255.1",syslog,,"___::_..._:__:_______,__",SYST,,,"May  5 16:58:58 45.30.255.1 SYST: I2C error: Random byte read failed for device 0x53, offset 3",1210021138
"tcp:514","45.30.255.1",syslog,,"___::_..._:__:_______,__",SYST,,,"May  5 16:58:58 45.30.255.1 SYST: I2C error: Random byte read failed for device 0x53, offset 0",1210021138
"tcp:514","45.120.10.1",syslog,,"___::_...___::_.:_:__...:____________,__","HAL.IPv4Adj",,,"May  5 16:58:03 45.120.10.1 May 5 16:57:36 HAL.IPv4Adj: : adj 45.26.130.63: IP add error is Table full for new or newly resolved ARP, egress valid",1210021083
"tcp:514","45.120.10.1",syslog,,"___::_...___::_.:_:__...:____________,__","HAL.IPv4Adj",,,"May  5 16:54:20 45.120.10.1 May 5 16:53:53 HAL.IPv4Adj: : adj 45.23.128.19: IP add error is Table full for new or newly resolved ARP, egress valid",1210020860
"tcp:514","45.120.10.1",syslog,,"___::_...___::_.:_:__...:____________,__","HAL.IPv4Adj",,,"May  5 16:53:36 45.120.10.1 May 5 16:53:09 HAL.IPv4Adj: : adj 45.26.2.175: IP add error is Table full for new or newly resolved ARP, egress valid",1210020816
"tcp:514","45.120.10.1",syslog,,"___::_...___::_.:_:__...:____________,__","HAL.IPv4Adj",,,"May  5 16:53:36 45.120.10.1 May 5 16:53:09 HAL.IPv4Adj: : adj 45.26.3.199: IP add error is Table full for new or newly resolved ARP, egress valid",1210020816
"tcp:514",gwrk1,syslog,,"___::__:__:_;;;;;:__:______'...'",nagios,,,"May  5 16:48:21 gwrk1 nagios: SERVICE ALERT: Ped31_Off_showfloor_Network;SNMP_ifoperstatus;WARNING;HARD;1;WARNING: SNMP error: No response from remote host '45.31.255.1'",1210020501
"tcp:514","45.120.10.2",syslog,,"___::_...___::_:_:__-_-_____=>_",EAPS,,,"May  5 16:46:39 45.120.10.2 May 5 16:45:25 EAPS: : EAPSD P31-Ring - State transition from Complete => Failed",1210020399
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 16:44:53 45.0.12.112 named[30382]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1210020293
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'___'____()",named,,,"May  5 16:43:52 45.0.12.112 named[30382]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'name not in use' prerequisite not satisfied (YXDOMAIN)",1210020232
"tcp:514","45.120.10.1",syslog,,"___::_...___::_.:_:__...:____________,__","HAL.IPv4Adj",,,"May  5 16:41:23 45.120.10.1 May 5 16:40:56 HAL.IPv4Adj: : adj 45.30.1.10: IP add error is Table full for new or newly resolved ARP, egress valid",1210020083
