_time,height
1407769960,54
1407770860,58
1407771760,59
1407772660,61
1407773560,61
1407774460,56
1407775360,54
1407776260,57
1407777160,54
1407778060,52
1407778960,58
1407779860,55
1407780760,56
1407781660,57
1407782560,56
1407783460,51
1407784360,50
1407785260,53
1407786160,61
1407787060,59
1407787960,50
1407788860,53
1407789760,54
1407790660,55
1407791560,51
1407792460,57
1407793360,54
1407794260,58
1407795160,52
1407796060,56
1407796960,58
1407797860,54
1407798760,50
1407799660,56
1407800560,52
1407801460,53
1407802360,56
1407803260,56
1407804160,57
1407805060,61
1407805960,55
1407806860,57
1407807760,50
1407808660,55
1407809560,51
1407810460,57
1407811360,56
1407812260,57
1407813160,50
1407814060,56
1407814960,57
1407815860,58
1407816760,56
1407817660,61
1407818560,59
1407819460,60
1407820360,50
1407821260,50
1407822160,55
1407823060,50
1407823960,52
1407824860,61
1407825760,53
1407826660,57
1407827560,60
1407828460,53
1407829360,61
1407830260,59
1407831160,54
1407832060,57
1407832960,52
1407833860,59
1407834760,55
1407835660,58
1407836560,55
1407837460,54
1407838360,55
1407839260,50
1407840160,58
1407841060,52
1407841960,50
1407842860,52
1407843760,57
1407844660,52
1407845560,60
1407846460,58
1407847360,55
1407848260,61
1407849160,53
1407850060,52
1407850960,54
1407851860,60
1407852760,52
1407853660,52
1407854560,52
1407855460,58
1407856360,61
1407857260,55
1407858160,55
1407859060,53
1407859960,52
1407860860,52
1407861760,60
1407862660,59
1407863560,53
1407864460,53
1407865360,54
1407866260,55
1407867160,50
1407868060,58
1407868960,54
1407869860,52
1407870760,53
1407871660,59
1407872560,51
1407873460,57
1407874360,50
1407875260,55
1407876160,61
1407877060,52
1407877960,55
1407878860,54
1407879760,55
1407880660,55
1407881560,53
1407882460,59
1407883360,53
1407884260,55
1407885160,61
1407886060,54
1407886960,59
1407887860,50
1407888760,50
1407889660,51
1407890560,50
1407891460,52
1407892360,53
1407893260,61
1407894160,58
1407895060,58
1407895960,55
1407896860,58
1407897760,60
1407898660,53
1407899560,53
1407900460,61
1407901360,57
1407902260,52
1407903160,50
1407904060,60
1407904960,56
1407905860,53
1407906760,58
1407907660,61
1407908560,51
1407909460,50
1407910360,55
1407911260,58
1407912160,60
1407913060,56
1407913960,57
1407914860,56
1407915760,55
1407916660,59
1407917560,56
1407918460,50
1407919360,56
1407920260,60
1407921160,51
1407922060,50
1407922960,54
1407923860,60
1407924760,54
1407925660,50
1407926560,56
1407927460,53
1407928360,55
1407929260,50
1407930160,52
1407931060,55
1407931960,52
1407932860,53
1407933760,55
1407934660,52
1407935560,54
1407936460,50
1407937360,58
1407938260,50
1407939160,59
1407940060,56
1407940960,51
1407941860,52
1407942760,53
1407943660,52
1407944560,58
1407945460,51
1407946360,52
1407947260,60
1407948160,55
1407949060,57
1407949960,56
1407950860,59
1407951760,60
1407952660,59
1407953560,54
1407954460,53
1407955360,61
1407956260,52
1407957160,57
1407958060,54
1407958960,53
1407959860,55
1407960760,52
1407961660,61
1407962560,59
1407963460,54
1407964360,54
1407965260,58
1407966160,61
1407967060,52
1407967960,57
1407968860,57
1407969760,54
1407970660,52
1407971560,57
1407972460,59
1407973360,59
1407974260,53
1407975160,57
1407976060,54
1407976960,50
1407977860,60
1407978760,53
1407979660,58
1407980560,59
1407981460,54
1407982360,56
1407983260,55
1407984160,59
1407985060,52
1407985960,52
1407986860,51
1407987760,51
1407988660,61
1407989560,57
1407990460,53
1407991360,59
1407992260,50
1407993160,56
1407994060,56
1407994960,55
1407995860,54
1407996760,52
1407997660,57
1407998560,55
1407999460,57
1408000360,50
1408001260,56
1408002160,56
1408003060,53
1408003960,54
1408004860,54
1408005760,54
1408006660,52
1408007560,55
1408008460,60
1408009360,61
1408010260,53
1408011160,54
1408012060,58
1408012960,53
1408013860,51
1408014760,53
1408015660,60
1408016560,59
1408017460,57
1408018360,58
1408019260,51
1408020160,57
1408021060,61
1408021960,58
1408022860,56
1408023760,53
1408024660,54
1408025560,60
1408026460,53
1408027360,61
1408028260,50
1408029160,57
1408030060,50
1408030960,55
1408031860,51
1408032760,58
1408033660,59
1408034560,50
1408035460,50
1408036360,56
1408037260,58
1408038160,58
1408039060,51
1408039960,50
1408040860,51
1408041760,54
1408042660,59
1408043560,59
1408044460,51
1408045360,55
1408046260,58
1408047160,60
1408048060,52
1408048960,61
1408049860,61
1408050760,51
