_time,height
1393324169,102
1393325069,100
1393325969,97
1393326869,102
1393327769,93
1393328669,99
1393329569,94
1393330469,103
1393331369,96
1393332269,97
1393333169,103
1393334069,103
1393334969,97
1393335869,93
1393336769,100
1393337669,97
1393338569,90
1393339469,102
1393340369,96
1393341269,101
1393342169,100
1393343069,95
1393343969,97
1393344869,95
1393345769,92
1393346669,102
1393347569,94
1393348469,100
1393349369,102
1393350269,101
1393351169,93
1393352069,92
1393352969,102
1393353869,100
1393354769,93
1393355669,97
1393356569,94
1393357469,100
1393358369,91
1393359269,90
1393360169,91
1393361069,103
1393361969,97
1393362869,101
1393363769,102
1393364669,103
1393365569,96
1393366469,102
1393367369,94
1393368269,103
1393369169,98
1393370069,101
1393370969,99
1393371869,90
1393372769,97
1393373669,92
1393374569,101
1393375469,93
1393376369,90
1393377269,91
1393378169,94
1393379069,102
1393379969,103
1393380869,100
1393381769,96
1393382669,95
1393383569,99
1393384469,97
1393385369,103
1393386269,93
1393387169,91
1393388069,101
1393388969,94
1393389869,96
1393390769,100
1393391669,102
1393392569,94
1393393469,96
1393394369,95
1393395269,97
1393396169,103
1393397069,99
1393397969,90
1393398869,90
1393399769,101
1393400669,91
1393401569,97
1393402469,103
1393403369,93
1393404269,92
1393405169,101
1393406069,90
1393406969,92
1393407869,97
1393408769,103
1393409669,99
1393410569,97
1393411469,90
1393412369,91
1393413269,91
1393414169,93
1393415069,103
1393415969,102
1393416869,90
1393417769,91
1393418669,97
1393419569,93
1393420469,94
1393421369,102
1393422269,95
1393423169,90
1393424069,93
1393424969,93
1393425869,96
1393426769,99
1393427669,95
1393428569,102
1393429469,99
1393430369,95
1393431269,92
1393432169,95
1393433069,93
1393433969,92
1393434869,90
1393435769,90
1393436669,99
1393437569,95
1393438469,102
1393439369,98
1393440269,94
1393441169,90
1393442069,101
1393442969,98
1393443869,102
1393444769,95
1393445669,90
1393446569,94
1393447469,103
1393448369,94
1393449269,103
1393450169,91
1393451069,99
1393451969,95
1393452869,99
1393453769,96
1393454669,100
1393455569,99
1393456469,102
1393457369,102
1393458269,100
1393459169,91
1393460069,98
1393460969,90
1393461869,101
1393462769,92
1393463669,96
1393464569,91
1393465469,99
1393466369,92
1393467269,102
1393468169,90
1393469069,103
1393469969,102
1393470869,92
1393471769,94
1393472669,100
1393473569,97
1393474469,91
1393475369,101
1393476269,102
1393477169,92
1393478069,93
1393478969,97
1393479869,100
1393480769,92
1393481669,94
1393482569,96
1393483469,90
1393484369,91
1393485269,101
1393486169,101
1393487069,98
1393487969,102
1393488869,94
1393489769,102
1393490669,100
1393491569,94
1393492469,90
1393493369,96
1393494269,99
1393495169,101
1393496069,93
1393496969,92
1393497869,94
1393498769,103
1393499669,93
1393500569,93
1393501469,103
1393502369,100
1393503269,102
1393504169,100
1393505069,92
1393505969,98
1393506869,92
1393507769,96
1393508669,96
1393509569,91
1393510469,98
1393511369,93
1393512269,92
1393513169,99
1393514069,101
1393514969,92
1393515869,100
1393516769,96
1393517669,99
1393518569,90
1393519469,90
1393520369,101
1393521269,96
1393522169,99
1393523069,90
1393523969,103
1393524869,96
1393525769,97
1393526669,93
1393527569,90
1393528469,91
1393529369,98
1393530269,90
1393531169,94
1393532069,97
1393532969,103
1393533869,102
1393534769,102
1393535669,96
1393536569,94
1393537469,97
1393538369,92
1393539269,91
1393540169,91
1393541069,90
1393541969,94
1393542869,97
1393543769,92
1393544669,92
1393545569,90
1393546469,92
1393547369,99
1393548269,92
1393549169,94
1393550069,97
1393550969,98
1393551869,95
1393552769,98
1393553669,94
1393554569,103
1393555469,93
1393556369,92
1393557269,90
1393558169,103
1393559069,91
1393559969,90
1393560869,94
1393561769,92
1393562669,90
1393563569,100
1393564469,92
1393565369,92
1393566269,100
1393567169,90
1393568069,102
1393568969,98
1393569869,90
1393570769,91
1393571669,97
1393572569,97
1393573469,101
1393574369,94
1393575269,94
1393576169,93
1393577069,103
1393577969,96
1393578869,97
1393579769,91
1393580669,92
1393581569,96
1393582469,101
1393583369,93
1393584269,102
1393585169,100
1393586069,93
1393586969,96
1393587869,100
1393588769,93
1393589669,93
1393590569,90
1393591469,91
1393592369,95
1393593269,90
1393594169,91
1393595069,102
1393595969,103
1393596869,100
1393597769,99
1393598669,97
1393599569,90
1393600469,96
1393601369,96
1393602269,93
1393603169,98
1393604069,97
1393604969,100
1393605869,102
1393606769,99
1393607669,99
1393608569,90
1393609469,90
1393610369,99
1393611269,102
1393612169,98
1393613069,95
1393613969,100
1393614869,95
1393615769,101
1393616669,103
1393617569,97
1393618469,92
1393619369,94
1393620269,94
1393621169,96
1393622069,93
1393622969,102
1393623869,101
1393624769,93
1393625669,100
1393626569,98
1393627469,100
1393628369,98
1393629269,96
1393630169,90
1393631069,96
1393631969,100
1393632869,96
1393633769,94
1393634669,102
1393635569,102
1393636469,103
1393637369,102
1393638269,103
1393639169,99
1393640069,101
1393640969,95
1393641869,94
1393642769,101
1393643669,98
1393644569,92
1393645469,97
1393646369,95
1393647269,98
1393648169,103
1393649069,98
1393649969,96
1393650869,93
1393651769,94
1393652669,90
1393653569,90
1393654469,102
1393655369,98
1393656269,95
1393657169,103
1393658069,95
1393658969,94
1393659869,90
1393660769,93
1393661669,99
1393662569,96
1393663469,92
1393664369,103
1393665269,102
1393666169,102
1393667069,92
1393667969,103
1393668869,94
1393669769,97
1393670669,91
1393671569,101
1393672469,101
