_time,height
1407769960,63
1407770860,58
1407771760,53
1407772660,46
1407773560,56
1407774460,51
1407775360,43
1407776260,47
1407777160,44
1407778060,48
1407778960,51
1407779860,53
1407780760,47
1407781660,44
1407782560,42
1407783460,53
1407784360,50
1407785260,49
1407786160,53
1407787060,55
1407787960,59
1407788860,50
1407789760,55
1407790660,63
1407791560,56
1407792460,65
1407793360,61
1407794260,77
1407795160,77
1407796060,74
1407796960,84
1407797860,86
1407798760,87
1407799660,90
1407800560,99
1407801460,100
1407802360,95
1407803260,103
1407804160,104
1407805060,103
1407805960,118
1407806860,120
1407807760,115
1407808660,124
1407809560,123
1407810460,128
1407811360,122
1407812260,136
1407813160,132
1407814060,131
1407814960,137
1407815860,145
1407816760,135
1407817660,147
1407818560,148
1407819460,139
1407820360,139
1407821260,141
1407822160,139
1407823060,149
1407823960,149
1407824860,142
1407825760,144
1407826660,145
1407827560,137
1407828460,144
1407829360,137
1407830260,142
1407831160,140
1407832060,135
1407832960,135
1407833860,134
1407834760,128
1407835660,120
1407836560,130
1407837460,119
1407838360,119
1407839260,112
1407840160,110
1407841060,108
1407841960,100
1407842860,104
1407843760,104
1407844660,96
1407845560,99
1407846460,90
1407847360,92
1407848260,84
1407849160,78
1407850060,83
1407850960,77
1407851860,73
1407852760,62
1407853660,67
1407854560,62
1407855460,61
1407856360,60
1407857260,50
1407858160,61
1407859060,47
1407859960,58
1407860860,54
1407861760,54
1407862660,42
1407863560,44
1407864460,45
1407865360,47
1407866260,50
1407867160,40
1407868060,43
1407868960,50
1407869860,52
1407870760,55
1407871660,49
1407872560,55
1407873460,54
1407874360,61
1407875260,54
1407876160,62
1407877060,56
1407877960,57
1407878860,60
1407879760,61
1407880660,73
1407881560,71
1407882460,79
1407883360,82
1407884260,80
1407885160,82
1407886060,85
1407886960,89
1407887860,94
1407888760,96
1407889660,107
1407890560,107
1407891460,111
1407892360,114
1407893260,108
1407894160,117
1407895060,122
1407895960,120
1407896860,120
1407897760,128
1407898660,130
1407899560,139
1407900460,132
1407901360,132
1407902260,141
1407903160,140
1407904060,141
1407904960,141
1407905860,141
1407906760,139
1407907660,145
1407908560,141
1407909460,142
1407910360,152
1407911260,148
1407912160,143
1407913060,145
1407913960,141
1407914860,141
1407915760,145
1407916660,133
1407917560,135
1407918460,134
1407919360,134
1407920260,134
1407921160,133
1407922060,121
1407922960,131
1407923860,117
1407924760,114
1407925660,109
1407926560,109
1407927460,103
1407928360,105
1407929260,107
1407930160,100
1407931060,99
1407931960,95
1407932860,91
1407933760,82
1407934660,84
1407935560,86
1407936460,76
1407937360,79
1407938260,69
1407939160,73
1407940060,60
1407940960,58
1407941860,67
1407942760,57
1407943660,59
1407944560,54
1407945460,58
1407946360,50
1407947260,50
1407948160,42
1407949060,46
1407949960,42
1407950860,42
1407951760,43
1407952660,51
1407953560,44
1407954460,48
1407955360,51
1407956260,53
1407957160,55
1407958060,51
1407958960,50
1407959860,58
1407960760,51
1407961660,60
1407962560,65
1407963460,64
1407964360,66
1407965260,60
1407966160,70
1407967060,65
1407967960,67
1407968860,74
1407969760,77
1407970660,78
1407971560,91
1407972460,90
1407973360,86
1407974260,95
1407975160,99
1407976060,103
1407976960,110
1407977860,114
1407978760,105
1407979660,118
1407980560,122
1407981460,118
1407982360,122
1407983260,132
1407984160,135
1407985060,126
1407985960,133
1407986860,134
1407987760,138
1407988660,139
1407989560,139
1407990460,145
1407991360,138
1407992260,147
1407993160,138
1407994060,147
1407994960,147
1407995860,149
1407996760,144
1407997660,150
1407998560,144
1407999460,140
1408000360,143
1408001260,143
1408002160,146
1408003060,141
1408003960,142
1408004860,139
1408005760,129
1408006660,127
1408007560,130
1408008460,120
1408009360,118
1408010260,117
1408011160,115
1408012060,122
1408012960,112
1408013860,113
1408014760,101
1408015660,103
1408016560,93
1408017460,100
1408018360,99
1408019260,94
1408020160,86
1408021060,77
1408021960,85
1408022860,76
1408023760,77
1408024660,67
1408025560,74
1408026460,71
1408027360,66
1408028260,59
1408029160,52
1408030060,58
1408030960,56
1408031860,50
1408032760,46
1408033660,48
1408034560,53
1408035460,50
1408036360,49
1408037260,40
1408038160,44
1408039060,42
1408039960,50
1408040860,46
1408041760,43
1408042660,52
1408043560,48
1408044460,47
1408045360,51
1408046260,56
1408047160,60
1408048060,52
1408048960,62
1408049860,59
1408050760,58
1408051660,71
1408052560,62
1408053460,69
1408054360,69
1408055260,73
1408056160,86
1408057060,85
1408057960,84
1408058860,85
1408059760,91
1408060660,89
1408061560,102
1408062460,108
1408063360,110
1408064260,106
1408065160,109
1408066060,113
1408066960,114
1408067860,124
1408068760,125
1408069660,131
1408070560,135
1408071460,132
1408072360,139
1408073260,135
1408074160,139
1408075060,142
1408075960,137
1408076860,144
1408077760,147
1408078660,145
1408079560,143
1408080460,148
1408081360,151
1408082260,139
1408083160,148
1408084060,143
1408084960,139
1408085860,145
1408086760,145
1408087660,144
1408088560,148
1408089460,133
1408090360,137
1408091260,139
1408092160,128
1408093060,130
1408093960,133
1408094860,127
1408095760,118
1408096660,120
1408097560,122
1408098460,114
1408099360,107
1408100260,103
1408101160,112
1408102060,100
1408102960,102
1408103860,101
1408104760,100
1408105660,93
1408106560,90
1408107460,81
1408108360,84
1408109260,75
1408110160,72
1408111060,73
1408111960,70
1408112860,65
1408113760,60
1408114660,60
1408115560,53
1408116460,54
1408117360,53
1408118260,59
1408119160,48
1408120060,49
1408120960,46
1408121860,44
1408122760,54
1408123660,41
1408124560,40
1408125460,51
1408126360,52
1408127260,44
1408128160,50
1408129060,47
1408129960,55
1408130860,47
1408131760,47
1408132660,55
1408133560,60
1408134460,59
1408135360,65
1408136260,58
1408137160,59
1408138060,67
1408138960,63
1408139860,75
1408140760,70
1408141660,82
1408142560,81
1408143460,85
1408144360,83
1408145260,83
1408146160,90
1408147060,89
1408147960,99
1408148860,99
1408149760,108
1408150660,106
1408151560,110
1408152460,110
1408153360,113
1408154260,124
1408155160,128
1408156060,131
1408156960,122
1408157860,137
1408158760,127
1408159660,141
1408160560,136
1408161460,145
1408162360,134
1408163260,139
1408164160,148
1408165060,145
1408165960,146
1408166860,145
1408167760,143
1408168660,142
1408169560,143
1408170460,142
1408171360,143
1408172260,140
1408173160,143
1408174060,146
1408174960,137
1408175860,146
1408176760,137
1408177660,137
1408178560,136
1408179460,136
1408180360,123
1408181260,133
1408182160,131
1408183060,121
1408183960,117
1408184860,118
1408185760,113
1408186660,108
1408187560,112
1408188460,106
1408189360,95
1408190260,96
1408191160,91
1408192060,85
1408192960,85
1408193860,84
1408194760,79
1408195660,84
1408196560,72
1408197460,67
1408198360,64
1408199260,60
1408200160,57
1408201060,59
1408201960,53
1408202860,52
1408203760,48
1408204660,56
1408205560,56
1408206460,53
1408207360,43
1408208260,42
1408209160,45
1408210060,49
1408210960,44
1408211860,43
1408212760,45
1408213660,46
1408214560,41
1408215460,47
1408216360,50
1408217260,50
1408218160,49
1408219060,53
1408219960,59
1408220860,60
1408221760,62
1408222660,66
1408223560,65
1408224460,70
1408225360,69
1408226260,71
1408227160,80
1408228060,73
1408228960,75
1408229860,82
1408230760,92
1408231660,94
1408232560,98
1408233460,92
1408234360,102
1408235260,106
1408236160,99
1408237060,102
1408237960,112
1408238860,118
1408239760,121
1408240660,115
1408241560,130
1408242460,130
1408243360,132
1408244260,125
1408245160,140
1408246060,135
1408246960,137
1408247860,137
1408248760,146
1408249660,141
1408250560,145
1408251460,142
1408252360,147
1408253260,149
1408254160,142
1408255060,150
1408255960,140
1408256860,145
1408257760,142
1408258660,141
1408259560,139
1408260460,136
1408261360,137
1408262260,146
1408263160,134
1408264060,132
1408264960,133
1408265860,137
1408266760,128
1408267660,124
1408268560,130
1408269460,117
1408270360,112
1408271260,121
1408272160,117
1408273060,116
1408273960,103
1408274860,106
1408275760,101
1408276660,93
1408277560,90
1408278460,85
1408279360,82
1408280260,79
1408281160,82
1408282060,79
1408282960,70
1408283860,65
1408284760,63
1408285660,72
1408286560,58
1408287460,56
1408288360,55
1408289260,57
1408290160,53
1408291060,47
1408291960,50
1408292860,51
1408293760,43
1408294660,51
1408295560,49
1408296460,47
1408297360,45
1408298260,53
1408299160,53
1408300060,53
1408300960,53
1408301860,52
1408302760,50
1408303660,50
1408304560,44
1408305460,47
1408306360,51
1408307260,56
1408308160,59
1408309060,56
1408309960,62
1408310860,66
1408311760,62
1408312660,66
1408313560,72
1408314460,71
1408315360,80
1408316260,80
1408317160,80
1408318060,85
1408318960,91
1408319860,97
1408320760,99
1408321660,106
1408322560,112
1408323460,105
1408324360,118
1408325260,110
1408326160,113
1408327060,118
1408327960,129
1408328860,126
1408329760,129
1408330660,131
1408331560,140
1408332460,132
1408333360,134
1408334260,138
1408335160,141
1408336060,136
1408336960,141
1408337860,148
1408338760,144
1408339660,151
1408340560,145
1408341460,140
1408342360,146
1408343260,149
1408344160,144
1408345060,139
1408345960,139
1408346860,142
1408347760,147
1408348660,139
